title,overview,release_date,rating,vote_count,review
Don't Be Bad,"A story set in the 90s and in the outskirts of Rome to Ostia. A world where money, luxury cars, night clubs, cocaine and synthetic drugs are easy to run. A world in which Vittorio and Cesare, in their early twenties, act in search of their success.",2015-09-08,7.8,992,No reviews
Evangelion: 2.0 You Can (Not) Advance,"Under constant attack by monstrous creatures called Angels that seek to eradicate humankind, U.N. Special Agency NERV introduces two new EVA pilots to help defend the city of Tokyo-3: the mysterious Makinami Mari Illustrous and the intense Asuka Langley Shikinami. Meanwhile, Gendo Ikari and SEELE proceed with a secret project that involves both Rei and Shinji.",2009-06-26,7.79,929,No reviews
Z,"Amid a tense political climate, the opposition leader is killed in an apparent accident. When a prosecutor smells a cover-up, witnesses get targeted. A thinly veiled dramatization of the assassination of Greek politician Grigoris Lambrakis and its aftermath, “Z” captures the outrage at the US-backed junta that ruled Greece at the time of its release.",1969-02-26,7.8,577,No reviews
Bajrangi Bhaijaan,A young mute girl from Pakistan loses herself in India with no way to head back. A devoted man with a magnanimous spirit undertakes the task to get her back to her motherland and unite her with her family.,2015-07-17,7.789,507,"This is one of the best film of Salman Khan. This is the first time when i was very emotional during watching this film. Now i am waiting for your Race 3 movie sir. 
"
A Woman Under the Influence,"Mabel Longhetti, desperate and lonely, is married to a Los Angeles municipal construction worker, Nick. Increasingly unstable, especially in the company of others, she craves happiness, but her extremely volatile behavior convinces Nick that she poses a danger to their family and decides to commit her to an institution for six months. Alone with a trio of kids to raise on his own, he awaits her return, which holds more than a few surprises.",1974-11-18,7.8,528,“Mabel” (Gena Rowlands) and husband “Nick” (Peter Falk) are happily enough married. He leads a construction team whilst she tries to cope with their three children. “Mabel” definitely burns the candle at both ends. She wishes to come across as a loving mother and wife whilst presenting a life and so
Presto,"Dignity. Poise. Mystery. We expect nothing less from the great turn-of-the-century magician, Presto. But when Presto neglects to feed his rabbit one too many times, the magician finds he isn't the only one with a few tricks up his sleeve!",2008-06-27,7.8,1026,No reviews
The Dark Knight Rises,"Following the death of District Attorney Harvey Dent, Batman assumes responsibility for Dent's crimes to protect the late attorney's reputation and is subsequently hunted by the Gotham City Police Department. Eight years later, Batman encounters the mysterious Selina Kyle and the villainous Bane, a new terrorist leader who overwhelms Gotham's finest. The Dark Knight resurfaces to protect a city that has branded him an enemy.",2012-07-17,7.787,23521,"I felt like this was a tremendous end to Nolan's Batman trilogy. The Dark Knight Rises may very well have been the weakest of all 3 films but when you're talking about a scale of this magnitude, it still makes this one of the best movies I've seen in the past few years.

I expected a little more _"
Rififi,"Out of prison after a five-year stretch, jewel thief Tony turns down a quick job his friend Jo offers him, until he discovers that his old girlfriend Mado has become the lover of local gangster Pierre Grutter during Tony's absence. Expanding a minor smash-and-grab into a full-scale jewel heist, Tony and his crew appear to get away clean, but their actions after the job is completed threaten the lives of everyone involved.",1955-04-13,7.787,598,"A 1955 classic whose story and production values have not aged. Sure, security technology has changed, and special effects have advanced. In spite of that, this movie has all the marks of a perfect film. Only one thing depicted in Rififi is no longer true: There is no longer any ""honor among thieves"
Straight Outta Compton,"In 1987, five young men, using brutally honest rhymes and hardcore beats, put their frustration and anger about life in the most dangerous place in America into the most powerful weapon they had: their music.  Taking us back to where it all began, Straight Outta Compton tells the true story of how these cultural rebels—armed only with their lyrics, swagger, bravado and raw talent—stood up to the authorities that meant to keep them down and formed the world’s most dangerous group, N.W.A.  And as they spoke the truth that no one had before and exposed life in the hood, their voice ignited a social revolution that is still reverberating today.",2015-08-11,7.786,4038,"Gangster rap is pretty far removed from my wheelhouse, and I've never followed N.W.A. closely enough to know if this biopic an accurate depiction of their career, but; a good movie is a good movie is a good movie. And _Straight Outta Compton_ undeniably is that.

_Final rating:★★★ - I personally r"
The Girl Who Leapt Through Time,"When 17-year-old Makoto Konno gains the ability to 'leap' backwards through time, she immediately sets about improving her grades and preventing personal mishaps. However, she soon realises that changing the past isn't as simple as it seems, and eventually, will have to rely on her new powers to shape the future of herself and her friends.",2006-07-15,7.785,2119,"“Makoto” is one of those young girls who would probably be late for her own funeral. Every morning is a last minute rush as she gulps her breakfast then heads to high school and her two best friends “Kosuke” and “Chiaki” to continue with her very mediocre education! Indeed, the best part of their da"
Brokeback Mountain,"In 1960s Wyoming, two men develop a strong emotional and sexual relationship that endures as a lifelong connection complicating their lives as they get married and start families of their own.",2005-10-22,7.785,7270,No reviews
A Short Film About Love,"19-year-old Tomek whiles away his lonely life by spying on his opposite neighbour Magda through binoculars. She's an artist in her mid-thirties, and appears to have everything - not least a constant stream of men at her beck and call. But when the two finally meet, they discover that they have a lot more in common than appeared at first sight...",1988-08-21,7.8,390,No reviews
The King of Comedy,"Aspiring comic Rupert Pupkin attempts to achieve success in show business by stalking his idol, a late night talk-show host who craves his own privacy.",1982-12-18,7.783,2448,"**De Niro as yet another deluded psycho**

De Niro is Rupert Pitkin, a comedian who seeks to be as famous as his hero, Jerry Lewis. Pupkin could be Travis Bickle's equally disturbed brother - both of them living in New York and both of them losing their minds in unison.

After much rejection, th"
